name,training_dataset,dataset,size,recall
UPerNet,WHU,kitsap,medium,0.6324 ± 0.0084
UPerNet,WHU,kitsap,outlier,0.0000 ± 0.0000
UPerNet,WHU,kitsap,small,0.2008 ± 0.0236
UPerNet,WHU,kitsap,very_large,0.7778 ± 0.0962
UPerNet,WHU,overall,large,0.7231 ± 0.0094
UPerNet,WHU,overall,medium,0.4550 ± 0.0082
UPerNet,WHU,overall,outlier,0.6781 ± 0.0066
UPerNet,WHU,overall,small,0.3395 ± 0.0134
UPerNet,WHU,overall,very_large,0.6878 ± 0.0083
UPerNet,WHU,tyrol-w,large,0.7607 ± 0.0133
UPerNet,WHU,tyrol-w,medium,0.8272 ± 0.0027
UPerNet,WHU,tyrol-w,outlier,0.6944 ± 0.1273
UPerNet,WHU,tyrol-w,small,0.4027 ± 0.0301
UPerNet,WHU,tyrol-w,very_large,0.5461 ± 0.0246
UPerNet,WHU,vienna,large,0.8108 ± 0.0243
UPerNet,WHU,vienna,medium,0.8446 ± 0.0124
