name,training_dataset,dataset,size,recall
UNet,WHU,Massachusetts,large,"0.5159 ± 0.0188 → 0.4845 ± 0.0121 (Δ=-0.0314, t=-1.93, p=0.194)"
UNet,WHU,Massachusetts,medium,"0.3783 ± 0.0274 → 0.3927 ± 0.0247 (Δ=+0.0144, t=0.76, p=0.524)"
UNet,WHU,Massachusetts,outlier,"0.5407 ± 0.0651 → 0.5481 ± 0.0463 (Δ=+0.0074, t=0.33, p=0.774)"
UNet,WHU,Massachusetts,small,"0.0654 ± 0.0116 → 0.0648 ± 0.0089 (Δ=-0.0006, t=-0.07, p=0.952)"
UNet,WHU,Massachusetts,very_large,"0.5806 ± 0.0257 → 0.5762 ± 0.0163 (Δ=-0.0045, t=-0.24, p=0.836)"
UNet,WHU,WHU Test,large,"0.9512 ± 0.0026 → 0.9569 ± 0.0020 (Δ=+0.0057, t=6.38, p=0.024)"
UNet,WHU,WHU Test,medium,"0.9762 ± 0.0007 → 0.9787 ± 0.0005 (Δ=+0.0025, t=5.29, p=0.034)"
UNet,WHU,WHU Test,outlier,"0.9912 ± 0.0152 → 1.0000 ± 0.0000 (Δ=+0.0088, t=1.00, p=0.423)"
UNet,WHU,WHU Test,small,"0.7839 ± 0.0100 → 0.8011 ± 0.0066 (Δ=+0.0172, t=1.95, p=0.190)"
UNet,WHU,WHU Test,very_large,"0.9436 ± 0.0030 → 0.9585 ± 0.0051 (Δ=+0.0148, t=4.33, p=0.049)"
UNet,WHU,austin,large,"0.7780 ± 0.0063 → 0.7646 ± 0.0228 (Δ=-0.0133, t=-1.28, p=0.329)"
UNet,WHU,austin,medium,"0.6953 ± 0.0067 → 0.6882 ± 0.0112 (Δ=-0.0072, t=-2.79, p=0.108)"
UNet,WHU,austin,outlier,"0.6667 ± 0.1925 → 0.5185 ± 0.0642 (Δ=-0.1481, t=-1.11, p=0.383)"
UNet,WHU,austin,small,"0.3774 ± 0.0053 → 0.3599 ± 0.0087 (Δ=-0.0175, t=-2.26, p=0.152)"
UNet,WHU,austin,very_large,"0.9136 ± 0.0247 → 0.9136 ± 0.0445 (Δ=+0.0000, t=0.00, p=1.000)"
UNet,WHU,chicago,large,"0.4773 ± 0.0104 → 0.4523 ± 0.0208 (Δ=-0.0250, t=-1.51, p=0.271)"
UNet,WHU,chicago,medium,"0.2217 ± 0.0164 → 0.2275 ± 0.0420 (Δ=+0.0057, t=0.19, p=0.869)"
UNet,WHU,chicago,outlier,"0.8485 ± 0.0946 → 0.9091 ± 0.0455 (Δ=+0.0606, t=0.76, p=0.529)"
UNet,WHU,chicago,small,"0.2912 ± 0.0322 → 0.3028 ± 0.0409 (Δ=+0.0117, t=0.31, p=0.785)"
UNet,WHU,chicago,very_large,"0.6309 ± 0.0331 → 0.6158 ± 0.0370 (Δ=-0.0151, t=-3.02, p=0.094)"
UNet,WHU,kitsap,large,"0.9442 ± 0.0158 → 0.9360 ± 0.0148 (Δ=-0.0082, t=-0.61, p=0.603)"
UNet,WHU,kitsap,medium,"0.6283 ± 0.0049 → 0.6167 ± 0.0031 (Δ=-0.0116, t=-11.50, p=0.007)"
UNet,WHU,kitsap,outlier,"0.0000 ± 0.0000 → 0.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
UNet,WHU,kitsap,small,"0.2086 ± 0.0243 → 0.2086 ± 0.0188 (Δ=+0.0000, t=0.00, p=1.000)"
UNet,WHU,kitsap,very_large,"0.5000 ± 0.2887 → 0.3889 ± 0.0962 (Δ=-0.1111, t=-0.55, p=0.635)"
UNet,WHU,overall,large,"0.7340 ± 0.0041 → 0.7209 ± 0.0127 (Δ=-0.0131, t=-1.82, p=0.211)"
UNet,WHU,overall,medium,"0.4573 ± 0.0097 → 0.4581 ± 0.0264 (Δ=+0.0008, t=0.05, p=0.965)"
UNet,WHU,overall,outlier,"0.6648 ± 0.0476 → 0.6438 ± 0.0315 (Δ=-0.0210, t=-0.47, p=0.687)"
UNet,WHU,overall,small,"0.3258 ± 0.0157 → 0.3260 ± 0.0221 (Δ=+0.0002, t=0.01, p=0.993)"
UNet,WHU,overall,very_large,"0.7014 ± 0.0305 → 0.6745 ± 0.0107 (Δ=-0.0269, t=-2.05, p=0.177)"
UNet,WHU,tyrol-w,large,"0.7575 ± 0.0254 → 0.7613 ± 0.0231 (Δ=+0.0038, t=0.14, p=0.901)"
UNet,WHU,tyrol-w,medium,"0.8192 ± 0.0246 → 0.8215 ± 0.0234 (Δ=+0.0023, t=0.11, p=0.922)"
UNet,WHU,tyrol-w,outlier,"0.7778 ± 0.0481 → 0.7500 ± 0.0833 (Δ=-0.0278, t=-0.38, p=0.742)"
